Iteracio ; X1 ; X2 ; F(x) ; pontos egyezoseg; futas (milliszekundum)
1003;-1,8594;3,4498;8,1704;791,99419;318
1332;-5,4864;30,1017;42,0731;4078,31608;422
888;3,5763;12,7973;6,6312;642,79246;280
1544;-5,194;26,9875;38,3574;3718,13775;499
1548;2,5436;6,4876;2,3508;227,87367;486
510;-2,671;7,0775;13,152;1274,87488;164
390;-1,619;2,5926;6,778;657,01571;125
583;-1,8435;3,3832;8,0624;781,51687;172
523;4,7443;22,4811;13,9466;1351,90053;170
540;-0,0994;-0,018;1,1309;109,61998;176
1938;3,5161;12,3789;6,3045;611,11707;589
153;-3,449;11,8883;19,7882;1918,15647;31
79;-4,8697;23,6852;34,3711;3331,72865;16
1148;3,7646;14,1853;7,6252;739,14408;363
937;3,5831;12,8312;6,6667;646,22931;283
760;4,5339;20,586;12,3991;1201,89153;236
588;-4,1818;17,4777;26,8418;2601,88204;189
399;-3,1942;10,2115;17,5833;1704,41905;118
416;-4,2813;18,3237;27,8888;2703,37251;126
226;-1,0266;1,0179;3,9769;385,50159;62
8;-3,4844;12,1082;20,0011;1938,79121;1
8;-3,4844;12,1082;20,0011;1938,79121;1
8;-3,4844;12,1082;20,0011;1938,79121;1
8;-3,4844;12,1082;20,0011;1938,79121;2
8;-3,4844;12,1082;20,0011;1938,79121;1
1343;-1,8174;3,4263;6,4177;622,0947;429
903;-3,3235;11,0627;18,664;1809,17967;280
969;4,8252;23,2629;14,5943;1414,68297;299
663;-0,978;0,9567;3,9123;379,23835;204
1630;-2,0288;4,1504;9,0556;877,7972;510
