Iteracio ; X1 ; X2 ; F(x) ; pontos egyezoseg; futas (milliszekundum)
34622;-10,3333;106,7723;128,44132;12450,34581;13
8568;-7,4647;55,7356;71,63082;6943,47051;2
26704;-10,2298;104,568;125,46396;12161,73892;9
20667;-9,8552;97,283;115,35905;11182,22773;8
30983;-12,2988;151,2666;176,85623;17143,40244;12
55009;-14,7509;217,4297;245,52289;23799,54465;19
17914;-9,3201;86,7812;105,82335;10257,89346;7
39193;-12,0652;145,6778;169,49557;16429,90425;15
40569;-11,3797;129,5725;152,70873;14802,68597;15
75975;-17,7445;314,8445;351,29874;34052,83346;29
50150;-13,264;175,8483;202,73522;19651,9599;17
42203;-12,7256;162,1437;184,30276;17865,22593;15
26203;-10,9941;120,9741;142,79364;13841,57604;10
42594;-13,3671;178,6205;206,08038;19976,22042;16
69950;-16,1869;262,0701;295,09816;28605,08008;26
48284;-13,9443;194,3596;222,61198;21578,69625;19
56771;-13,4553;181,0176;208,87779;20247,385;21
29417;-9,9169;98,3181;119,10737;11545,568;10
24449;-11,1496;124,2638;147,35666;14283,8885;9
60037;-13,1251;172,2684;199,51952;19340,24919;23
34864;-11,5086;132,4246;156,41006;15161,47188;13
54922;-15,2669;232,8639;260,07405;25210,04928;19
65088;-16,3305;266,8059;298,86415;28970,13267;24
43262;-13,9185;193,7404;222,53447;21571,18298;16
54998;-15,4049;237,1929;267,74992;25954,10243;20
26277;-10,6488;113,4564;135,34449;13119,4992;10
37912;-10,7211;115,0201;136,7797;13258,61961;14
59859;-15,4014;236,997;264,73394;25661,75097;24
43590;-14,173;201,0731;226,19748;21926,25358;17
25030;-11,2108;125,678;149,10163;14453,03545;10
