Iteracio ; X1 ; X2 ; F(x) ; pontos egyezoseg; futas (milliszekundum)
24551;-11,8114;139,2945;159,48142;15459,19095;10
28046;-10,1052;102,0306;122,62726;11886,76537;11
27173;-9,692;93,7565;111,15438;10774,65151;10
16365;-9,1405;83,7427;99,06078;9602,36952;6
41452;-12,9704;168,2518;195,13542;18915,28047;14
22713;-9,1452;83,6357;102,92547;9976,98948;7
39866;-13,0484;170,0857;194,29513;18833,82721;14
23908;-10,0361;100,6297;120,91556;11720,84288;8
44006;-12,6019;158,7764;184,91889;17924,95006;16
22456;-10,9022;118,7395;140,254;13595,39777;8
31997;-11,4128;130,2021;153,83014;14911,3888;13
78292;-16,7088;279,2952;312,33167;30275,59545;30
38695;-14,5113;210,6919;239,3309;23199,3299;15
54852;-14,5692;212,3922;240,69938;23331,98191;21
33452;-11,9031;141,7849;165,48994;16041,62132;13
45898;-11,1584;124,5721;147,43296;14291,28385;18
22854;-10,5448;111,202;133,27488;12918,88357;8
40409;-13,1646;173,3923;199,91685;19378,76394;16
25215;-9,4794;89,9168;109,48393;10612,72837;10
36105;-10,5837;112,0586;133,99273;12988,46706;14
7815;-7,2481;52,5437;68,02381;6593,8278;3
55679;-13,157;173,3441;194,83016;18885,69038;21
17187;-9,4502;89,5161;104,83151;10161,74992;6
48296;-14,9015;221,8722;249,50257;24185,31178;19
46154;-12,7756;163,3442;188,11798;18235,05085;18
65906;-15,2336;232,0958;263,42641;25535,00686;25
31518;-10,9017;118,8082;141,49222;13715,42409;12
27481;-10,059;101,0974;121,5755;11784,81388;10
28481;-12,013;144,4759;166,63526;16152,64188;11
67556;-16,3393;266,8514;299,1776;29000,51717;26
