Populacio merete:;10;Maximalis generacio:; 100; Elitek aranya:;0,1;Mutacio valoszinusege:;0,25;Kilepesi feltetel:;10
Populacio ; X1 ; X2 ; F(x) ; pontos egyezoseg; futas (milliszekundum)
100;-0,76634;0,58685;3,11993;302,42813;109
60;-0,8348;0,67661;3,32536;322,34044;40
100;-0,83498;0,70471;3,36152;325,84636;78
70;-0,84809;0,72488;3,41226;330,76435;62
100;-0,78638;0,62091;3,19052;309,27015;94
32;-1,52236;2,33433;6,33423;614,00304;31
46;-0,911;0,81895;3,6399;352,83005;46
100;-0,79862;0,6322;3,23191;313,2823;78
69;-0,82785;0,69352;3,33437;323,21427;67
57;-0,81788;0,6529;3,279;317,84713;58
52;-0,85103;0,75517;3,3307;322,85865;47
83;-0,81939;0,66701;3,30826;320,68325;78
100;-0,7786;0,60685;3,16338;306,639;78
79;-0,90813;0,83015;3,63797;352,64352;78
100;-0,825;0,68079;3,33062;322,85063;88
100;-0,7536;0,56333;3,07301;297,87939;94
64;-0,78876;0,62138;3,19959;310,14972;49
50;-1,62817;2,63612;6,88531;667,4216;47
100;-0,80537;0,63721;3,24633;314,68015;78
70;-0,87097;0,76077;3,50008;339,2767;62
100;-0,86171;0,7435;3,46588;335,96194;94
44;-0,98458;0,92332;3,72625;361,20054;31
100;-0,81841;0,67682;3,30168;320,04588;83
100;-0,80492;0,65981;3,24353;314,40902;73
100;-0,80678;0,65134;3,26445;316,43666;78
91;-0,84254;0,69799;3,38084;327,71858;78
73;-0,7972;0,61107;3,17009;307,28964;62
100;-0,81533;0,66459;3,29542;319,43889;94
76;-0,8111;0,63963;3,24676;314,72197;62
100;-0,78133;0,60584;3,17099;307,37689;76
