Populacio merete:;1000;Maximalis generacio:; 100; Elitek aranya:;0,25;Mutacio valoszinusege:;0,1;Kilepesi feltetel:;10
Populacio ; X1 ; X2 ; F(x) ; pontos egyezoseg; futas (milliszekundum)
65;0,79801;0,54543;-0,79423;-76,98772;47
76;0,42292;0,23202;0,05043;4,88798;62
91;0,35585;0,07103;0,10588;10,26306;78
45;0,57951;0,46846;-1,58215;-153,36453;33
56;0,262;0,12111;0,26935;26,10898;45
46;0,85735;0,8101;-0,54282;-52,6175;46
41;-0,88396;0,76122;3,50864;340,10695;39
44;0,27857;0,21789;-1,44768;-140,32943;32
95;0,66346;0,52246;-0,56366;-54,63816;78
67;0,54245;0,3006;0,20532;19,90294;46
78;0,48851;0,12206;-1,0975;-106,38519;51
54;0,81601;0,41175;-6,42385;-622,69015;49
83;0,10325;0,07976;0,32664;31,66289;60
76;0,48152;0,19275;0,11587;11,2314;62
93;0,23546;0,10153;0,37208;36,06721;77
49;0,49047;0,20666;0,14471;14,02702;31
84;0,30968;0,02171;-0,07389;-7,16266;62
59;0,52975;0,40969;-1,44435;-140,00707;46
69;-0,60464;0,53898;-0,43172;-41,84873;47
22;0,49913;0,0849;-2,44616;-237,11678;15
67;0,32838;0,02163;-0,29216;-28,32076;65
73;-0,5031;0,10889;0,17936;17,3861;60
50;0,7485;0,53564;0,00269;0,26077;39
46;0,65547;0,48202;-0,15558;-15,08141;38
48;0,19687;0,03165;0,63997;62,03477;47
59;-0,64145;0,22599;-0,7454;-72,25469;45
80;0,45702;0,31698;-0,87404;-84,72391;62
39;0,49003;0,10282;-1,62542;-157,55845;25
100;0,27745;0,10728;0,4303;41,71038;78
41;0,58987;0,21455;-1,61138;-156,19777;31
