Iteracio ; X1 ; X2 ; F(x) ; pontos egyezoseg; futas (milliszekundum); szomszedossagi szugar
100000;-8,3841;70,2871;88,05767;8535,79222;31;0,1
100000;-8,0781;65,2405;82,38923;7986,32767;15;0,1
100000;-8,2568;68,177;85,68701;8305,99532;15;0,1
100000;-8,3228;69,2542;86,89397;8422,99035;31;0,1
100000;-8,3261;69,3181;86,97269;8430,62082;31;0,1
100000;7,8679;61,9114;47,16377;4571,77817;15;0,1
100000;-8,2318;67,7615;85,22542;8261,25057;22;0,1
100000;7,9659;63,4559;48,52394;4703,62583;24;0,1
100000;-8,3502;69,7192;87,42166;8474,14187;31;0,1
100000;-8,2206;67,5623;84,99499;8238,91446;31;0,1
100000;-8,1961;67,1641;84,5544;8196,20658;16;0,1
100000;7,7055;59,3683;44,95966;4358,12516;15;0,1
100000;7,9173;62,6838;47,84936;4638,23533;31;0,1
100000;-8,1864;66,9966;84,34694;8176,09613;31;0,1
100000;-8,3215;69,2587;86,87727;8421,3716;12;0,1
100000;-7,9762;63,6222;80,57109;7810,08777;15;0,1
100000;7,8393;61,4483;46,77206;4533,80891;31;0,1
100000;-8,4079;70,6776;88,48591;8577,30386;31;0,1
100000;-8,2828;68,6352;86,08008;8344,09689;32;0,1
100000;-8,0716;65,1245;82,22404;7970,31462;31;0,1
100000;-8,2717;68,406;85,94188;8330,70052;15;0,1
100000;7,9898;63,8292;48,85123;4735,35123;25;0,1
100000;-8,1536;66,4601;83,74598;8117,84307;19;0,1
100000;-8,3642;69,9502;87,67932;8499,11795;31;0,1
100000;-8,1576;66,5676;83,81684;8124,71187;27;0,1
100000;-8,5216;72,6393;90,61278;8783,4704;31;0,1
100000;-8,2997;68,8475;86,34112;8369,40055;15;0,1
100000;-8,2034;67,3077;84,6895;8209,3022;15;0,1
100000;-8,4151;70,7921;88,59531;8587,90826;31;0,1
100000;-8,3247;69,3168;86,92752;8426,24238;31;0,1
