Iteracio ; X1 ; X2 ; F(x) ; pontos egyezoseg; futas (milliszekundum); szomszedossagi szugar
100000;-16,2607;264,6709;291,06858;28214,47674;30;10
100000;-17,8132;317,2268;353,25276;34242,245;31;10
100000;-18,1143;328,1012;365,2788;35407,9786;16;10
100000;-17,3654;301,4611;336,3535;32604,13;31;10
100000;-17,2434;297,2702;332,40293;32221,18503;31;10
100000;-17,7106;313,6804;350,06576;33933,31622;31;10
100000;-18,3676;337,3027;374,66972;36318,27919;15;10
100000;-15,1557;229,791;260,07031;25209,68658;15;10
100000;-16,8308;283,1852;317,08767;30736,61405;31;10
100000;17,1683;294,69;261,03601;25303,29573;31;10
100000;-17,4974;306,2228;341,73912;33126,18032;31;10
100000;-16,1404;260,301;289,33386;28046,32298;15;10
100000;-16,4569;270,7813;304,51972;29518,35039;31;10
100000;-17,9107;320,865;357,09931;34615,10721;31;10
100000;-16,2628;264,3776;296,99208;28788,66534;24;10
100000;-16,8142;282,5762;315,38826;30571,88278;31;10
100000;-18,3397;336,1301;369,48904;35816,09468;31;10
100000;-18,2466;333,0674;368,75979;35745,40507;15;10
100000;-17,204;295,8563;329,91475;31979,99539;31;10
100000;-16,9497;287,0807;317,75121;30800,93382;31;10
100000;-17,277;298,4899;334,04641;32380,49425;31;10
100000;-16,362;267,8318;300,10603;29090,51393;31;10
100000;-17,4345;303,9273;339,70144;32928,65944;15;10
100000;-16,2978;265,4022;294,54139;28551,1098;35;10
100000;-16,6617;277,608;311,93392;30237,03941;27;10
100000;-17,2124;296,5035;326,09356;31609,59239;31;10
100000;-16,9874;288,2657;314,12836;30449,75554;15;10
100000;-16,6213;276,502;305,04027;29568,80996;31;10
100000;-15,6726;245,6702;277,8253;26930,75106;31;10
100000;-18,6629;348,2851;386,59677;37474,41766;31;10
