Iteracio ; X1 ; X2 ; F(x) ; pontos egyezoseg; futas (milliszekundum); szomszedossagi szugar
8750;-0,0749;0,7106;1,03075;99,91499;4;3
5475;0,0771;-0,7445;1,0219;99,05715;3;3
5925;0,0777;-0,7249;1,02966;99,80906;2;3
8300;0,1264;-0,7118;1,02643;99,49582;3;3
8025;-0,0808;0,6987;1,02987;99,82987;3;3
5150;-0,1124;0,7264;1,02839;99,68605;1;3
7000;-0,071;0,7013;1,0294;99,78428;3;3
13425;0,0891;-0,7172;1,03146;99,98327;7;3
12200;0,1086;-0,7091;1,0301;99,85209;5;3
10525;0,1009;-0,7143;1,03115;99,95342;6;3
5075;-0,0722;0,7529;1,01568;98,45422;2;3
5775;-0,0831;0,6868;1,02635;99,48792;2;3
6100;-0,0655;0,6897;1,0257;99,42576;3;3
10625;-0,1069;0,6979;1,0285;99,6971;5;3
5425;0,0545;-0,7389;1,01996;98,86899;3;3
10325;0,0929;-0,7191;1,03127;99,96498;4;3
6900;-0,1325;0,6978;1,02219;99,08535;3;3
13375;0,0688;-0,7128;1,02989;99,83149;8;3
10625;-0,0944;0,7421;1,02429;99,28824;5;3
5200;0,0461;-0,7018;1,02363;99,22426;2;3
5875;-0,125;0,727;1,02563;99,41865;2;3
8175;0,0739;-0,6936;1,02805;99,65322;3;3
9200;-0,1113;0,7058;1,02932;99,77643;5;3
5925;-0,0559;0,7109;1,02714;99,56475;2;3
5325;0,0604;-0,7193;1,02767;99,61597;2;3
5175;0,0947;-0,7196;1,03117;99,95575;3;3
9825;-0,0465;0,7045;1,02408;99,26817;5;3
6625;-0,063;0,721;1,028;99,64795;2;3
9400;0,1368;-0,7024;1,0218;99,04713;4;3
5700;0,1148;-0,7172;1,02916;99,76092;2;3
